Group	Bird ID	Grid Section	Number of Pecks
Landmark	380	25	0
Landmark	380	26	5
Landmark	380	27	7
Landmark	380	28	3
Landmark	380	29	0
Landmark	380	30	0
Landmark	380	31	0
Landmark	380	32	1
Landmark	380	33	0
Landmark	380	34	0
Landmark	380	35	6
Landmark	380	36	8
Landmark	380	37	6
Landmark	380	38	3
Landmark	380	39	0
Landmark	380	40	0
Landmark	380	41	0
Landmark	380	42	0
Landmark	380	43	0
Landmark	380	44	0
Landmark	380	45	0
Landmark	380	46	1
Landmark	380	47	5
Landmark	380	48	1
Landmark	380	49	2
Landmark	380	50	1
Landmark	380	51	1
Landmark	380	52	3
Landmark	380	53	0
Landmark	380	54	0
Landmark	380	55	5
Landmark	380	56	0
Landmark	380	57	0
Landmark	380	58	0
Landmark	380	59	9
Landmark	380	60	2
Landmark	380	61	3
Landmark	380	62	2
Landmark	380	63	4
Landmark	380	64	1
Landmark	380	65	0
Landmark	380	66	0
Landmark	380	67	0
Landmark	380	68	1
Landmark	380	69	3
Landmark	380	70	0
Landmark	380	71	0
Landmark	380	72	1
Landmark	380	73	12
Landmark	380	74	3
Landmark	380	75	0
Landmark	380	76	0
Landmark	380	77	0
Landmark	380	78	5
Landmark	380	79	8
Landmark	380	80	0
Landmark	380	81	0
Landmark	380	82	0
Landmark	380	83	1
Landmark	380	84	1
Landmark	380	85	0
Landmark	380	86	2
Landmark	380	87	4
Landmark	380	88	2
Landmark	380	89	1
Landmark	380	90	0
Landmark	380	91	0
Landmark	380	92	0
Landmark	380	93	0
Landmark	380	94	0
Landmark	380	95	0
Landmark	380	96	0
Landmark	380	97	9
Landmark	380	98	2
Landmark	380	99	0
Landmark	380	100	0
Landmark	418	1	0
Landmark	418	2	0
Landmark	418	3	0
Landmark	418	4	0
Landmark	418	5	0
Landmark	418	6	0
Landmark	418	7	3
Landmark	418	8	0
Landmark	418	9	0
Landmark	418	10	0
Landmark	418	11	0
Landmark	418	12	0
Landmark	418	13	0
Landmark	418	14	3
Landmark	418	15	0
Landmark	418	16	0
Landmark	418	17	5
Landmark	418	18	2
Landmark	418	19	1
Landmark	418	20	0
Landmark	418	21	0
Landmark	418	22	0
Landmark	418	23	0
Landmark	418	24	0
Landmark	418	25	0
Landmark	418	26	0
Landmark	418	27	0
Landmark	418	28	3
Landmark	418	29	4
Landmark	418	30	7
Landmark	418	31	0
Landmark	418	32	0
Landmark	418	33	0
Landmark	418	34	0
Landmark	418	35	0
Landmark	418	36	0
Landmark	418	37	0
Landmark	418	38	1
Landmark	418	39	1
Landmark	418	40	0
Landmark	418	41	0
Landmark	418	42	0
Landmark	418	43	0
Landmark	418	44	0
Landmark	418	45	0
Landmark	418	46	0
Landmark	418	47	0
Landmark	418	48	0
Landmark	418	49	0
Landmark	418	50	3
Landmark	418	51	0
Landmark	418	52	0
Landmark	418	53	0
Landmark	418	54	0
Landmark	418	55	0
Landmark	418	56	0
Landmark	418	57	0
Landmark	418	58	0
Landmark	418	59	0
Landmark	418	60	5
Landmark	418	61	0
Landmark	418	62	0
Landmark	418	63	0
Landmark	418	64	0
Landmark	418	65	0
Landmark	418	66	0
Landmark	418	67	0
Landmark	418	68	1
Landmark	418	69	0
Landmark	418	70	0
Landmark	418	71	0
Landmark	418	72	0
Landmark	418	73	0
Landmark	418	74	0
Landmark	418	75	0
Landmark	418	76	0
Landmark	418	77	2
Landmark	418	78	11
Landmark	418	79	0
Landmark	418	80	2
Landmark	418	81	0
Landmark	418	82	0
Landmark	418	83	3
Landmark	418	84	1
Landmark	418	85	0
Landmark	418	86	0
Landmark	418	87	0
Landmark	418	88	0
Landmark	418	89	0
Landmark	418	90	0
Landmark	418	91	0
Landmark	418	92	0
Landmark	418	93	8
Landmark	418	94	2
Landmark	418	95	1
Landmark	418	96	0
Landmark	418	97	0
Landmark	418	98	0
Landmark	418	99	0
Landmark	418	100	0
Landmark	378	1	0
Landmark	378	2	0
Landmark	378	3	0
Landmark	378	4	0
Landmark	378	5	0
Landmark	378	6	0
Landmark	378	7	3
Landmark	378	8	1
Landmark	378	9	0
Landmark	378	10	0
Landmark	378	11	0
Landmark	378	12	3
Landmark	378	13	0
Landmark	378	14	0
Landmark	378	15	0
Landmark	378	16	0
Landmark	378	17	1
Landmark	378	18	0
Landmark	378	19	0
Landmark	378	20	0
Landmark	378	21	0
Landmark	378	22	15
Landmark	378	23	0
Landmark	378	24	0
Landmark	378	25	0
Landmark	378	26	1
Landmark	378	27	6
Landmark	378	28	3
Landmark	378	29	0
Landmark	378	30	0
Landmark	378	31	0
Landmark	378	32	7
Landmark	378	33	0
Landmark	378	34	0
Landmark	378	35	0
Landmark	378	36	0
Landmark	378	37	1
Landmark	378	38	2
Landmark	378	39	2
Landmark	378	40	0
Landmark	378	41	0
