WORD	AoA	AoA	IMG	FAM	LEN_L	LEN_S	LEN_P	MLBF	N
	(Yrs)	(100-700)							
county	7.4	433	317	483	6	2	5	2.98	2
coup	11.8	700	195	385	4	1	2	2.67	1
coward	6.8	401	251	471	6	2	4	2.76	1
craft	6.6	360	413	468	5	1	5	2.54	3
crap	9.0	553	335	638	4	1	4	2.10	8
crash	4.9	268	534	513	5	1	4	2.83	5
crater	8.2	502	555	404	6	2	6	3.07	2
crawl	4.3	234	475	520	5	1	4	2.29	3
crazy	5.9	339	416	595	5	2	5	2.29	1
credit	9.0	547	311	576	6	2	6	2.40	0
creek	7.5	428	378	423	5	1	4	2.67	5
creep	6.8	394	354	475	5	1	4	2.84	3
crept	5.9	324	281	483	5	1	5	2.60	3
crest	8.1	491	311	412	5	1	5	3.15	5
crevice	9.7	605	400	445	7	2	6	2.67	0
cricket	5.9	337	603	486	7	2	6	2.62	0
crisis	8.4	523	279	499	6	2	6	2.48	2
crisp	4.3	227	535	591	5	1	5	2.51	1
critic	10.0	602	226	485	6	2	6	2.64	0
crop	5.9	314	474	452	4	1	4	2.70	5
cross	5.2	279	567	577	5	1	4	3.04	6
crowd	5.7	334	575	583	5	1	4	2.66	2
crown	4.8	245	645	447	5	1	4	2.94	7
crude	9.3	570	246	483	5	1	4	2.58	1
cruel	5.6	327	300	525	5	1	4	2.49	3
cruise	7.1	426	516	442	6	1	4	2.41	1
crumble	5.6	310	475	495	7	2	6	2.33	2
crunchy	5.0	283	404	546	7	2	6	2.19	0
crust	5.1	298	540	520	5	1	5	2.94	4
crystal	6.2	353	566	454	7	2	6	2.23	0
cubic	8.8	546	287	430	5	2	6	1.97	1
culture	7.6	463	287	541	7	2	6	2.59	1
curb	6.5	384	441	488	4	1	3	2.11	4
cure	6.8	363	346	496	4	2	5	2.96	11
curious	6.9	394	254	513	7	2	6	2.88	1
current	7.7	466	330	578	7	2	6	2.90	1
curry	6.7	361	587	564	5	2	4	2.55	4
cushion	5.0	268	613	572	7	2	4	2.76	0
custom	8.3	484	166	506	6	2	6	2.46	0
cutter	6.0	353	367	402	6	2	5	3.06	5
daisy	4.6	236	640	440	5	2	4	2.37	2
dame	8.5	539	410	408	4	1	3	3.36	17
damp	5.9	322	461	531	4	1	4	2.86	8
dandy	9.6	610	275	421	5	2	5	2.69	6
dangle	6.9	406	429	462	6	2	5	2.86	6
dapper	10.9	666	274	370	6	2	5	2.81	3
dare	5.4	299	246	514	4	1	3	3.38	17
darling	5.0	283	270	575	7	2	5	3.17	2
data	8.9	553	375	564	4	2	4	2.52	1
