Appendix B																				
Word Ratings and Associated Statistics (All Participants)																				

Word	Type	Letters	Syllables	K&F 	        ANEW		    Personal Use		      Familiarity		   Offensiveness		     Tabooness		        Valence		        Arousal		    Imageability	
				Freq.	Valence	Arousal	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD	Mean	SD
wish	pos lo ar	4	1	110	7.09	5.16	6.10	2.09	6.39	2.01	1.01	0.11	1.01	0.11	6.40	1.30	2.51	2.16	2.82	2.29
ace	pos hi ar	3	1	15	6.88	5.50	4.00	2.32	4.26	2.35	1.04	0.20	1.03	0.16	5.93	1.24	2.09	1.80	5.83	3.13
admired	pos hi ar	7	3	17	7.74	6.11	4.79	2.18	5.46	2.19	1.03	0.16	1.01	0.11	6.91	1.15	2.64	2.28	2.50	2.28
adventure	pos hi ar	9	3	14	7.60	6.98	5.36	2.37	5.71	2.16	1.04	0.25	1.04	0.25	6.36	1.27	4.06	2.76	3.95	2.60
alive	pos hi ar	5	2	57	7.25	5.50	5.32	2.22	5.62	2.32	1.01	0.11	1.01	0.11	6.65	1.37	2.70	2.20	3.60	2.70
awed	pos hi ar	4	1	5	6.70	5.74	3.29	2.08	3.68	2.14	1.05	0.22	1.09	0.49	6.05	1.16	2.42	2.07	2.34	2.15
bouquet	pos hi ar	7	2	4	7.02	5.46	3.64	2.05	4.35	2.23	1.00	0.00	1.00	0.00	5.92	1.07	2.19	1.88	7.24	2.30
brave	pos hi ar	5	1	24	7.15	6.15	4.76	2.05	5.62	2.14	1.01	0.12	1.00	0.00	7.04	1.23	3.04	2.27	3.04	2.14
bride	pos hi ar	5	1	33	7.34	5.55	4.04	1.98	5.18	2.12	1.04	0.20	1.05	0.28	6.69	1.34	2.61	2.08	7.99	1.45
bright	pos hi ar	6	1	87	7.50	5.40	5.51	2.34	5.38	2.44	1.03	0.23	1.00	0.00	6.34	1.29	2.73	2.30	5.49	2.95
casino	pos hi ar	6	3	2	6.81	6.51	4.09	2.28	5.43	2.33	1.04	0.26	1.42	1.20	4.86	0.83	2.89	2.41	7.50	1.85
champ	pos hi ar	5	1	1	7.18	6.00	3.65	2.24	4.65	2.28	1.03	0.16	1.03	0.23	6.58	1.21	2.54	2.02	4.28	2.93
couple	pos hi ar	6	2	122	7.41	6.39	5.97	1.88	6.63	1.95	1.05	0.32	1.11	0.53	5.72	1.10	2.32	1.89	6.42	2.35
ecstasy	pos hi ar	7	3	6	7.98	7.38	3.39	1.99	4.55	1.98	1.21	0.68	2.65	2.09	5.81	2.17	4.25	2.23	3.69	2.67
elated	pos hi ar	6	3	3	7.45	6.21	3.47	2.39	3.74	2.18	1.03	0.16	1.03	0.23	6.73	1.42	3.01	2.50	2.73	2.33
erotic	pos hi ar	6	3	8	7.43	7.24	3.27	1.97	4.92	2.13	1.65	1.28	3.96	2.26	5.29	1.41	5.10	2.38	3.44	2.48
excitement	pos hi ar	10	3	32	7.50	7.67	5.60	2.21	6.05	2.15	1.01	0.11	1.01	0.11	6.94	1.27	3.82	2.63	3.21	2.26
exercise	pos hi ar	8	3	58	7.13	6.84	6.44	1.96	7.04	1.85	1.01	0.11	1.03	0.23	6.32	1.21	3.22	2.46	5.53	2.55
fame	pos hi ar	4	1	18	7.93	6.55	4.29	2.34	6.12	2.46	1.06	0.30	1.10	0.50	6.34	1.54	3.25	2.40	3.78	2.78
flirt	pos hi ar	5	1	1	7.52	6.91	5.68	2.18	6.55	2.14	1.36	1.04	1.86	1.53	5.24	1.09	3.88	2.52	3.74	2.44
food	pos hi ar	4	1	147	7.65	5.92	8.01	1.59	8.18	1.43	1.06	0.47	1.08	0.48	6.30	1.57	4.01	3.05	7.90	1.72
gift	pos hi ar	4	1	33	7.77	6.14	5.69	2.07	6.35	2.16	1.01	0.11	1.01	0.11	6.66	1.36	3.14	2.39	7.31	1.96
gold	pos hi ar	4	1	52	7.54	5.76	4.55	2.27	5.53	2.27	1.01	0.12	1.01	0.12	6.54	1.32	3.07	2.54	7.84	1.50
heaven	pos hi ar	6	2	43	7.30	5.61	5.47	2.43	6.29	2.30	1.05	0.36	1.39	1.01	7.87	1.61	4.36	2.88	4.93	2.73
hopeful	pos hi ar	7	2	12	7.10	5.78	5.30	2.19	5.57	2.35	1.01	0.12	1.01	0.12	6.86	1.27	2.78	2.26	2.16	1.74
intercourse	pos hi ar	11	3	9	7.36	7.00	3.47	2.16	5.16	2.31	1.44	0.93	3.82	2.37	5.51	1.50	5.03	2.53	6.36	2.42
joke	pos hi ar	4	1	22	8.10	6.74	6.45	2.14	6.64	1.99	1.08	0.48	1.14	0.74	6.04	1.21	2.81	2.17	2.23	1.99
joyful	pos hi ar	6	2	1	8.22	5.98	4.53	2.45	5.23	2.17	1.00	0.00	1.05	0.28	7.35	1.37	3.61	2.48	3.49	2.34
liberty	pos hi ar	7	3	46	7.98	5.60	3.58	2.18	5.13	2.13	1.04	0.19	1.06	0.30	7.31	1.33	2.96	2.20	3.10	2.55
lively	pos hi ar	6	2	26	7.20	5.53	4.28	2.08	4.82	2.21	1.03	0.16	1.15	0.76	6.50	1.30	2.82	2.19	3.49	2.44
loved	pos hi ar	5	1	56	8.64	6.38	6.49	1.98	6.97	1.80	1.00	0.00	1.08	0.50	8.05	1.27	4.67	2.63	3.44	2.49
lust	pos hi ar	4	1	5	7.12	6.88	3.97	2.20	5.22	2.10	1.45	1.12	2.77	2.03	4.33	1.59	4.10	2.23	2.88	2.22
muscular	pos hi ar	8	3	16	6.82	5.47	5.08	2.19	6.04	2.23	1.06	0.25	1.06	0.38	6.26	1.33	3.31	2.29	7.23	1.90
nude	pos hi ar	4	1	20	6.82	6.41	3.95	2.17	5.31	2.19	1.36	0.97	3.23	2.18	4.57	1.03	4.90	2.39	6.62	2.44
profit	pos hi ar	6	2	28	7.63	6.68	5.01	2.31	6.09	2.25	1.07	0.58	1.16	0.70	6.53	1.37	3.00	2.59	3.15	2.50
quick	pos hi ar	5	1	68	6.64	6.57	5.80	2.26	5.95	2.29	1.05	0.28	1.03	0.16	5.53	0.87	1.93	1.87	3.17	2.46
riches	pos hi ar	6	2	2	7.70	6.17	3.61	2.05	4.82	2.19	1.04	0.20	1.04	0.20	6.42	1.45	2.66	2.25	5.09	2.74
savior	pos hi ar	6	2	6	7.73	5.80	3.70	2.54	4.67	2.61	1.09	0.41	1.57	1.28	7.08	1.41	3.49	2.57	4.72	2.93
snow	pos hi ar	4	1	59	7.08	5.75	4.76	2.34	5.58	2.25	1.01	0.12	1.01	0.12	5.86	1.09	3.22	2.38	8.30	1.26
song	pos hi ar	4	1	70	7.10	6.07	6.74	2.13	6.97	2.16	1.00	0.00	1.00	0.00	5.68	1.38	2.47	2.03	3.50	2.53
star	pos hi ar	4	1	25	7.27	5.83	5.32	2.04	5.90	2.12	1.01	0.11	1.03	0.16	6.09	1.19	2.57	2.02	7.77	1.79
